date,symbol,entry_price,target_price,stop_loss_price,stop_loss_gap,target_hit,stop_loss_hit,days_to_target,profit_percent,daily_performance,exit_price,exit_reason,day_open,day_high,day_low,day_close,pattern_day_open,pattern_day_high,pattern_day_low,pattern_day_close,pattern_day_range,pattern_day_move,days_to_stop,loss_percent,final_price,final_percent,days_checked,best_possible_return,worst_possible_return
2024-09-30,CHAMBLFERT,550.5,551.601,519.3499755859375,5.658496714634423,True,False,2.0,0.2,"[{'day': 2, 'open': 544.0, 'high': 551.9500122070312, 'low': 526.25, 'close': 531.1500244140625, 'return': -3.514981941133061}]",551.601,target_hit,544.0,551.9500122070312,526.25,531.1500244140625,520.4500122070312,551.9500122070312,443.20001220703125,515.2999877929688,20.895378508847077,-0.9895329605667984,,,,,,,
2024-09-30,INFY,1908.949951171875,1912.7678510742187,1870.5,2.014193779583963,True,False,3.0,0.2,"[{'day': 2, 'open': 1889.5, 'high': 1911.8499755859375, 'low': 1881.0, 'close': 1893.4000244140625, 'return': -0.8145801176330809}, {'day': 3, 'open': 1889.550048828125, 'high': 1954.0999755859375, 'low': 1886.0, 'close': 1918.1500244140625, 'return': 0.48194418279744405}]",1912.7678510742187,target_hit,1889.550048828125,1954.0999755859375,1886.0,1918.1500244140625,1856.0999755859375,1991.449951171875,1718.0,1857.8499755859375,14.73250119975632,0.09428371440215964,,,,,,,
2024-09-30,BRITANNIA,6463.60009765625,6476.527297851562,6241.10009765625,3.4423540540616084,False,True,,,"[{'day': 2, 'open': 6444.2001953125, 'high': 6469.89990234375, 'low': 6290.0, 'close': 6331.75, 'return': -2.03988637391196}, {'day': 3, 'open': 6278.25, 'high': 6339.9501953125, 'low': 6179.85009765625, 'close': 6206.0, 'return': -3.9853965864883523}]",6241.10009765625,stop_loss,6278.25,6339.9501953125,6179.85009765625,6206.0,5784.4501953125,6469.89990234375,4746.89990234375,4941.14990234375,29.786754865592137,-14.578745853013459,3.0,-3.4423540540616084,,,,,
2024-09-30,WIPRO,274.79998779296875,275.34958776855467,267.0,2.8384236315342104,False,True,,,"[{'day': 2, 'open': 270.04998779296875, 'high': 271.20001220703125, 'low': 263.125, 'close': 265.07501220703125, 'return': -3.5389286819270853}]",267.0,stop_loss,270.04998779296875,271.20001220703125,263.125,265.07501220703125,261.5,298.0,240.125,288.92498779296875,22.131931166347993,10.487567033640058,2.0,-2.8384236315342104,,,,,
2024-09-30,CAMS,4599.0,4608.198,4400.0,4.327027614698848,False,True,,,"[{'day': 2, 'open': 4479.9501953125, 'high': 4558.0, 'low': 4411.0, 'close': 4422.39990234375, 'return': -3.839967333251794}, {'day': 3, 'open': 4412.9501953125, 'high': 4439.0, 'low': 4245.2998046875, 'close': 4266.5, 'return': -7.229832572298325}]",4400.0,stop_loss,4412.9501953125,4439.0,4245.2998046875,4266.5,4525.0,5098.7998046875,3850.0,4928.39990234375,27.597785738950275,8.914914968922652,3.0,-4.327027614698848,,,,,
2024-09-30,TECHM,1642.9000244140625,1646.1858244628907,1567.8499755859375,4.568144604836285,True,False,3.0,0.2,"[{'day': 2, 'open': 1615.0, 'high': 1631.1500244140625, 'low': 1596.1500244140625, 'close': 1604.050048828125, 'return': -2.3647193991486657}, {'day': 3, 'open': 1591.0, 'high': 1648.4000244140625, 'low': 1591.0, 'close': 1616.449951171875, 'return': -1.6099624352748352}]",1646.1858244628907,target_hit,1591.0,1648.4000244140625,1591.0,1616.449951171875,1554.4000244140625,1767.800048828125,1426.75,1712.300048828125,21.940944639182263,10.158261833120054,,,,,,,
2024-09-30,DALBHARAT,1968.449951171875,1972.3868510742188,1889.449951171875,4.013310064244662,True,False,2.0,0.2,"[{'day': 2, 'open': 1932.1500244140625, 'high': 1973.4000244140625, 'low': 1932.0999755859375, 'close': 1950.0, 'return': -0.9372832243406144}]",1972.3868510742188,target_hit,1932.1500244140625,1973.4000244140625,1932.0999755859375,1950.0,1845.0999755859375,1982.949951171875,1676.550048828125,1820.3499755859375,16.606140935341372,-1.341390728279658,,,,,,,
2024-09-30,MCX,5879.5498046875,5891.308904296875,5642.0,4.040272003446798,True,False,2.0,0.2,"[{'day': 2, 'open': 5750.0, 'high': 5977.2001953125, 'low': 5740.0, 'close': 5784.7001953125, 'return': -1.6132121085083877}]",5891.308904296875,target_hit,5750.0,5977.2001953125,5740.0,5784.7001953125,4328.0,6870.0,4130.0498046875,6185.35009765625,63.30753686027033,42.91474347634588,,,,,,,
2024-09-30,SYNGENE,911.9500122070312,913.7739122314454,871.7999877929688,4.4026562724523135,False,True,,,"[{'day': 2, 'open': 875.0, 'high': 902.3499755859375, 'low': 873.1500244140625, 'close': 884.3499755859375, 'return': -3.026485690185832}, {'day': 3, 'open': 880.2000122070312, 'high': 894.4000244140625, 'low': 862.5499877929688, 'close': 865.7000122070312, 'return': -5.07154990744167}]",871.7999877929688,stop_loss,880.2000122070312,894.4000244140625,862.5499877929688,865.7000122070312,807.7999877929688,945.25,792.3499755859375,940.7999877929688,18.92795577180044,16.464471652614904,3.0,-4.4026562724523135,,,,,
2024-10-07,SOLARINDS,11444.0,11466.888,10349.0498046875,9.567897547295527,True,False,7.0,0.2,"[{'day': 1, 'open': 11352.2001953125, 'high': 11394.75, 'low': 11147.75, 'close': 11237.849609375, 'return': -1.8013840495019222}, {'day': 2, 'open': 11411.0, 'high': 11418.7001953125, 'low': 11222.0, 'close': 11297.25, 'return': -1.2823313526738902}, {'day': 3, 'open': 11306.0, 'high': 11392.25, 'low': 11208.0, 'close': 11318.4501953125, 'return': -1.097079733375568}, {'day': 6, 'open': 11318.0, 'high': 11340.9501953125, 'low': 11150.0, 'close': 11298.099609375, 'return': -1.2749072931230339}, {'day': 7, 'open': 11235.0498046875, 'high': 11537.400390625, 'low': 11126.7001953125, 'close': 11386.4501953125, 'return': -0.5028819004500175}]",11466.888,target_hit,11235.0498046875,11537.400390625,11126.7001953125,11386.4501953125,10218.75,12124.0498046875,9630.5498046875,10808.2998046875,24.401223241590213,5.769294724770642,,,,,,,
